"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAM83A",249.465518037526,2.43440034913671,0.217863452883497,11.1739730409878,5.46791620036868e-29,4.46843867595392e-26
"SCRIB",146.018773087468,-1.02243869933813,0.102217176370421,-10.0026114557592,1.48430265226929e-23,4.34844665694063e-21
"FASN",165.684639018852,-1.11578239785839,0.112366030167759,-9.92989069910692,3.08593621774434e-23,8.71187848234843e-21
"ZFHX3",3712.44237732658,4.54633294169971,0.483251499278892,9.40779893799346,5.06634793768618e-21,7.94597822509629e-19
"GRN",1539.52726059654,-1.06556011775579,0.116602407714415,-9.13840578974648,6.33797144694441e-20,8.26972123165595e-18
"MORC4",526.646165775244,1.05425332224125,0.116314268325171,9.06383487960353,1.25943004077533e-19,1.52774767524364e-17
"PGAP1",45.7501922007258,1.14906777761447,0.12850409770583,8.94187654813084,3.82616883961247e-19,4.27402327860884e-17
"DMXL1",120.857570804212,1.61721033588361,0.192534799693642,8.39957419882994,4.48100503651083e-17,3.56802898471301e-15
"SCAF8",77.7593676136403,2.20413032502208,0.263271675073442,8.37207544034963,5.66121810374998e-17,4.37322057198636e-15
"MEIS2",49.014168643011,3.22960591875774,0.386036145538654,8.3660713020832,5.95711566780927e-17,4.53412426343502e-15
"PWWP2B",78.5876723100633,-1.08596192251707,0.130832834906333,-8.30037752598225,1.03781076150801e-16,7.60098476129007e-15
"WDR74",1624.36310886368,1.77146428371244,0.214287373609862,8.2667693101583,1.37637927937806e-16,9.67015433072542e-15
"PTCH2",28.270368975455,1.96496904412406,0.246247267661507,7.97965826295022,1.46738987217922e-15,8.43857872049139e-14
"PLD4",59.0709682092582,-1.22665031634356,0.159196132839771,-7.70527709726572,1.30559680123188e-14,6.23753893314688e-13
"FEZF2",62.4084248251333,6.75260596130955,0.90488339734472,7.46240452761574,8.49575724994874e-14,3.45323619947524e-12
"SNAPC2",32.2192778193365,-1.00099056288276,0.139236957766724,-7.18911543988066,6.52124206903947e-13,2.17753388399948e-11
