"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FEZF2",62.4084248251333,6.75260596130955,0.90488339734472,7.46240452761574,8.49575724994874e-14,3.45323619947524e-12
"BRINP2",5.08562896058829,5.46210251881691,0.907120881546611,6.02136124295167,1.72956258343158e-09,2.61999202272606e-08
"HOXC12",2.93018951371702,4.85825340621649,0.837346171137683,5.80196527275654,6.55421382539496e-09,8.7054985514891e-08
"ZFHX3",3712.44237732658,4.54633294169971,0.483251499278892,9.40779893799346,5.06634793768618e-21,7.94597822509629e-19
"TBC1D3K",2.01311456696665,4.50851723315083,2.08965970431527,2.15753657106967,0.0309638808201946,0.065959140827982
"ZNF469",9.46309207328988,4.13776717742893,1.56427687479306,2.64516291463832,0.0081651594721117,0.0214809269948286
"SKOR2",3.96033003140611,3.9432510747668,0.761545613555955,5.1779578328266,2.24327916350889e-07,2.08072852878151e-06
"RELN",7.74777084229374,3.70324799575632,0.559064553947981,6.62400785312692,3.49588179410086e-11,7.86826676462703e-10
"MEIS2",49.014168643011,3.22960591875774,0.386036145538654,8.3660713020832,5.95711566780927e-17,4.53412426343502e-15
"RPL17-C18orf32",5.50590208902485,2.94029063635224,0.657640102275384,4.47097223265288,7.78648087048062e-06,4.83066420544519e-05
"NAIPP2",3.00984998062207,2.89650785160457,2.92413715026806,0.990551298641735,0.321904728419744,0.441826723534086
"EGR3",80.6198118632153,2.8863143238212,0.431308194372927,6.69199973818621,2.20141260841224e-11,5.23450743810366e-10
"UNC45B",0.596504086145121,2.84665809133792,2.15003008758416,1.32400849075397,0.185500224837739,0.287767208617802
"HSPE1-MOB4",4.75051711163954,2.66812544580263,0.618234734304858,4.31571585637721,1.59086508320466e-05,9.15882912381117e-05
"FAM83A",249.465518037526,2.43440034913671,0.217863452883497,11.1739730409878,5.46791620036868e-29,4.46843867595392e-26
"H2BC19P",1.97337881047589,-3.85520281117341,1.45919942816087,-2.64199857591254,0.00824184024110836,0.0216533085319272
"HBZP1",1.241834131172,-3.30303046702794,2.93347203458834,-1.12597987234314,0.260174038987718,0.375159946448951
"DNM1P47",17.1982271027475,-2.48998674517447,1.40308825667319,-1.77464727064168,0.0759561468676073,0.139142412979393
"GMPR",16.6680074058755,-2.37823053664614,0.537129910269929,-4.42766357109211,9.52593280115246e-06,5.79808540194019e-05
"HBM",30.8294668577333,-2.14841596273485,0.666789695941471,-3.22202933820296,0.00127286100894168,0.00433890513410262
"WDR62",2.29126941603914,-2.10826752832264,0.556175594139748,-3.79065092128603,0.000150253001595535,0.000666565244506819
"SCGB3A1",1.83690832215303,-2.061096467554,0.889512853619104,-2.31710700881741,0.0204979033150253,0.0467839107412021
"MUC12",6.82267741475485,-2.01843610494456,0.727587114015075,-2.77415042963879,0.00553460794777331,0.0153676426332397
"NAIPP4",1.96816045853601,-2.00050475482813,2.33065781798497,-0.858343399614845,0.390702871475259,0.513757070240205
"MAFIP",5.69930450121444,-1.94967329807066,0.633065375006599,-3.07973453460526,0.0020718517296426,0.00660025478173176
"ITPRIPL2",7.64903909032537,-1.94549200914664,0.443540910004137,-4.38627410745155,1.15308796074669e-05,6.88615260250535e-05
"POLH",2.88381243452068,-1.93609982724806,0.794426573819703,-2.43710355500704,0.01480543877947,0.0355147018711496
"BRPF1",26.4753107241489,-1.90331244660724,0.756997159948571,-2.51429271773826,0.0119271392626276,0.0296841213776013
"ATP10A",8.9516174518128,-1.89490573240256,0.72344310694933,-2.61928783922366,0.00881135636939247,0.0229669179700448
"IGHA2",145.966958506409,-1.8077802006503,0.400904759437649,-4.50925103305353,6.50568918095336e-06,4.11294120165565e-05
